                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7264,                 4.8733,                 1.2911,                0.00338,                0.01512,                0.00193,                0.00073,                 1.6853,                 4.5874,                 1.1775,             0.00010672,             0.00010672,             0.00010672
                      2,                 1.5736,                  4.236,                 1.1203,                  0.049,                0.07835,                0.04494,                0.02512,                   1.69,                 4.0696,                 1.0955,             0.00019832,             0.00019832,             0.00019832
                      3,                 1.5868,                 3.5387,                 1.0946,                0.16663,                0.36888,                0.22648,                0.12545,                 1.6753,                 3.4143,                 1.0824,             0.00026747,             0.00026747,             0.00026747
                      4,                  1.601,                 2.9318,                 1.1034,                0.56054,                0.26951,                0.32982,                0.17329,                 1.6944,                  2.784,                  1.094,             0.00031416,             0.00031416,             0.00031416
                      5,                 1.5905,                  2.561,                 1.0955,                0.51066,                0.42596,                0.40724,                0.22474,                 1.6014,                 2.2922,                 1.0811,             0.00033841,             0.00033841,             0.00033841
                      6,                 1.5627,                 2.3507,                 1.1041,                0.62021,                0.44742,                0.47327,                0.26563,                 1.5766,                 2.1145,                 1.0794,             0.00033683,             0.00033683,             0.00033683
                      7,                 1.5795,                  2.191,                  1.096,                0.67927,                0.44225,                0.50762,                0.27685,                 1.6153,                 2.0515,                 1.0947,             0.00033683,             0.00033683,             0.00033683
                      8,                 1.5703,                 2.0614,                  1.093,                0.72781,                0.49645,                0.55786,                0.30635,                 1.5984,                 1.9059,                 1.0947,              0.0002708,              0.0002708,              0.0002708
                      9,                 1.5299,                 1.9294,                 1.1015,                0.72323,                0.51784,                0.58498,                0.32877,                 1.5403,                 1.8105,                 1.0739,             0.00020477,             0.00020477,             0.00020477
                     10,                 1.5202,                   1.87,                 1.0939,                 0.7381,                0.54214,                0.60708,                0.34358,                 1.5054,                 1.6971,                 1.0597,             0.00013874,             0.00013874,             0.00013874
